Categoria,Cultivar,Quantidade (KG),Total_Categoria,Ano
Sem classificação_TOTAL,,0,3675463.0,1970
Sem classificação_TOTAL,,0,665425.0,1971
Sem classificação_TOTAL,,0,197232.0,1972
Sem classificação_TOTAL,,0,491357.0,1973
Sem classificação_TOTAL,,0,57307.0,1974
Sem classificação_TOTAL,,0,540146.0,1975
Sem classificação_TOTAL,,0,24440.0,1976
Sem classificação_TOTAL,,0,9743.0,1977
Sem classificação_TOTAL,,0,85475.0,1978
Sem classificação_TOTAL,,0,2317099.0,1979
Sem classificação_TOTAL,,0,306970.0,1980
Sem classificação_TOTAL,,0,494703.0,1981
Sem classificação_TOTAL,,0,1719913.0,1982
Sem classificação_TOTAL,,0,21742.0,1983
Sem classificação_TOTAL,,0,99929.0,1984
Sem classificação_TOTAL,,0,104929.0,1985
Sem classificação_TOTAL,,0,12689.0,1986
Sem classificação_TOTAL,,0,99743.0,1987
Sem classificação_TOTAL,,0,0.0,1988
Sem classificação_TOTAL,,0,0.0,1989
Sem classificação_TOTAL,,0,0.0,1990
Sem classificação_TOTAL,,0,0.0,1991
Sem classificação_TOTAL,,0,0.0,1992
Sem classificação_TOTAL,,0,0.0,1993
Sem classificação_TOTAL,,0,0.0,1994
Sem classificação_TOTAL,,0,0.0,1995
Sem classificação_TOTAL,,0,0.0,1996
Sem classificação_TOTAL,,0,0.0,1997
Sem classificação_TOTAL,,0,0.0,1998
Sem classificação_TOTAL,,0,0.0,1999
Sem classificação_TOTAL,,0,152517.0,2000
Sem classificação_TOTAL,,0,0.0,2001
Sem classificação_TOTAL,,0,0.0,2002
Sem classificação_TOTAL,,0,0.0,2003
Sem classificação_TOTAL,,0,0.0,2004
Sem classificação_TOTAL,,0,0.0,2005
Sem classificação_TOTAL,,0,0.0,2006
Sem classificação_TOTAL,,0,0.0,2007
Sem classificação_TOTAL,,0,0.0,2008
Sem classificação_TOTAL,,0,0.0,2009
Sem classificação_TOTAL,,0,0.0,2010
Sem classificação_TOTAL,,0,0.0,2011
Sem classificação_TOTAL,,0,0.0,2012
Sem classificação_TOTAL,,0,0.0,2013
Sem classificação_TOTAL,,0,0.0,2014
Sem classificação_TOTAL,,0,0.0,2015
Sem classificação_TOTAL,,0,0.0,2016
Sem classificação_TOTAL,,0,0.0,2017
Sem classificação_TOTAL,,0,0.0,2018
Sem classificação_TOTAL,,0,0.0,2019
Sem classificação_TOTAL,,0,166947.0,2020
Sem classificação_TOTAL,,0,0.0,2021
Sem classificação_TOTAL,,0,0.0,2022
Sem classificação_TOTAL,,0,0.0,2023
